,date,avgTemp,season,daily_bike_rides
0,2022-01-01,11.6,winter,20428
1,2022-01-02,11.4,winter,43009
2,2022-01-03,1.4,winter,33189
3,2022-01-04,-2.7,winter,36842
4,2022-01-05,3.2,winter,34230
5,2022-01-06,4.9,winter,44787
6,2022-01-07,0.7,winter,17401
7,2022-01-08,-2.5,winter,24455
8,2022-01-09,1.4,winter,21479
9,2022-01-10,1.6,winter,34727
10,2022-01-11,-5.4,winter,26824
11,2022-01-12,-1.9,winter,40568
12,2022-01-13,4.0,winter,50572
13,2022-01-14,4.8,winter,45714
14,2022-01-15,-6.7,winter,22839
15,2022-01-16,-8.0,winter,20930
16,2022-01-17,3.9,winter,29084
17,2022-01-18,1.8,winter,42935
18,2022-01-19,3.2,winter,54011
19,2022-01-20,5.1,winter,33928
20,2022-01-21,-6.0,winter,33598
21,2022-01-22,-5.9,winter,31969
22,2022-01-23,-0.7,winter,32967
23,2022-01-24,-0.2,winter,41488
24,2022-01-25,3.6,winter,50692
25,2022-01-26,-2.3,winter,42005
26,2022-01-27,-4.2,winter,43830
27,2022-01-28,0.1,winter,34871
28,2022-01-29,-4.8,winter,2848
29,2022-01-30,-7.1,winter,9486
30,2022-01-31,-3.4,winter,22349
31,2022-02-01,-1.7,winter,29338
32,2022-02-02,2.3,winter,41947
33,2022-02-03,6.4,winter,26568
34,2022-02-04,5.8,winter,20309
35,2022-02-05,-2.8,winter,29638
36,2022-02-06,-4.8,winter,28887
37,2022-02-07,0.5,winter,30717
38,2022-02-08,4.1,winter,51893
39,2022-02-09,2.8,winter,56007
40,2022-02-10,6.3,winter,61937
41,2022-02-11,8.6,winter,64614
42,2022-02-12,11.8,winter,68575
43,2022-02-13,2.8,winter,20384
44,2022-02-14,-4.3,winter,34198
45,2022-02-15,-4.7,winter,40550
46,2022-02-16,1.6,winter,53683
47,2022-02-17,11.6,winter,67432
48,2022-02-18,9.9,winter,47038
49,2022-02-19,0.1,winter,32450
50,2022-02-20,-2.6,winter,31051
51,2022-02-21,4.1,winter,52366
52,2022-02-22,5.6,winter,36459
53,2022-02-23,14.4,winter,66325
54,2022-02-24,1.1,winter,44725
55,2022-02-25,0.8,winter,30412
56,2022-02-26,-1.1,winter,41415
57,2022-02-27,2.4,winter,42805
58,2022-02-28,0.8,winter,45636
59,2022-03-01,2.6,winter,56019
60,2022-03-02,7.7,winter,67108
61,2022-03-03,5.6,winter,55408
62,2022-03-04,-1.9,winter,49704
63,2022-03-05,3.1,winter,51358
64,2022-03-06,9.6,winter,54531
65,2022-03-07,18.2,winter,67882
66,2022-03-08,8.7,winter,62178
67,2022-03-09,3.2,winter,28088
68,2022-03-10,4.0,winter,66071
69,2022-03-11,7.2,winter,69316
70,2022-03-12,5.1,winter,19628
71,2022-03-13,-2.3,winter,30833
72,2022-03-14,5.3,winter,63206
73,2022-03-15,11.6,winter,78946
74,2022-03-16,13.6,winter,81449
75,2022-03-17,8.2,winter,50004
76,2022-03-18,13.9,winter,92837
77,2022-03-19,13.1,winter,77861
78,2022-03-20,14.3,winter,65417
79,2022-03-21,10.4,winter,73209
80,2022-03-22,10.7,winter,75235
81,2022-03-23,7.2,winter,60865
82,2022-03-24,5.7,winter,45793
83,2022-03-25,9.6,winter,74873
84,2022-03-26,10.4,winter,62151
85,2022-03-27,5.9,winter,45625
86,2022-03-28,-1.5,winter,38135
87,2022-03-29,-1.2,winter,48426
88,2022-03-30,2.6,winter,61254
89,2022-03-31,9.9,winter,72625
90,2022-04-01,13.1,winter,68479
91,2022-04-02,7.2,winter,73254
92,2022-04-03,7.0,winter,37164
93,2022-04-04,7.6,winter,68902
94,2022-04-05,9.7,winter,72629
95,2022-04-06,8.6,winter,48443
96,2022-04-07,9.1,winter,35322
97,2022-04-08,12.8,winter,88195
98,2022-04-09,11.4,winter,67329
99,2022-04-10,8.6,winter,57144
100,2022-04-11,8.8,winter,75355
101,2022-04-12,13.4,winter,93575
102,2022-04-13,15.4,winter,98764
103,2022-04-14,16.3,winter,90635
104,2022-04-15,15.7,winter,99636
105,2022-04-16,15.7,winter,82188
106,2022-04-17,8.3,winter,54110
107,2022-04-18,7.9,winter,55811
108,2022-04-19,7.6,winter,58873
109,2022-04-20,9.4,winter,85294
110,2022-04-21,10.6,winter,77520
111,2022-04-22,14.6,winter,97494
112,2022-04-23,13.3,winter,94585
113,2022-04-24,12.8,winter,83406
114,2022-04-25,10.4,winter,72682
115,2022-04-26,11.5,winter,74947
116,2022-04-27,11.6,winter,82446
117,2022-04-28,8.2,winter,78531
118,2022-04-29,10.4,winter,87089
119,2022-04-30,12.9,winter,101537
120,2022-05-01,13.6,spring,94657
121,2022-05-02,12.1,spring,54536
122,2022-05-03,12.4,spring,92564
123,2022-05-04,12.0,spring,79594
124,2022-05-05,17.2,spring,110355
125,2022-05-06,14.8,spring,35170
126,2022-05-07,10.0,spring,20557
127,2022-05-08,10.4,spring,62745
128,2022-05-09,13.5,spring,93995
129,2022-05-10,15.4,spring,104600
130,2022-05-11,16.1,spring,107079
131,2022-05-12,17.1,spring,110862
132,2022-05-13,16.0,spring,95861
133,2022-05-14,17.9,spring,79812
